编号,供应商名称,描述
惠州市泰佳成玻璃钢制品有限公司,惠州市泰佳成玻璃钢制品有限公司,玻璃钢
意昂神州（北京）科技有限公司,意昂神州（北京）科技有限公司,Z220014 新能源实验室
成都极米科技股份有限公司/坚果(北京)科技有限公司,成都极米科技股份有限公司/坚果(北京)科技有限公司,影音系统、音响系统、点歌机系统
扬中市长征汽车部件有限公司,扬中市长征汽车部件有限公司,Z150028 棉类
扬州东升汽车零部件股份有限公司,扬州东升汽车零部件股份有限公司,空气悬架系统、稳定杆、扭杆
扬州亚星客车股份有限公司,扬州亚星客车股份有限公司,Z120096 底盘
扬州市健豪汽配有限公司,扬州市健豪汽配有限公司,Z150019 左六连杆铰链
扬州市奥特瑞汽车电子科技有限公司,扬州市奥特瑞汽车电子科技有限公司,Z130047 智能排水系统
扬州市昊星汽车零部件有限公司,扬州市昊星汽车零部件有限公司,Z150065 气弹簧
扬州市润义电气有限公司,扬州市润义电气有限公司,水泵
扬州市邗江扬子汽车内饰件有限公司,扬州市邗江扬子汽车内饰件有限公司,Z140007 仪表台
扬州市银源汽车配件有限公司,扬州市银源汽车配件有限公司,Z140010 舱门
扬州毅升汽车部件有限公司,扬州毅升汽车部件有限公司,Z150013 气弹簧
扬州皓月机械有限公司,扬州皓月机械有限公司,备胎升降机构
扬州科恩汽车配件有限公司,扬州科恩汽车配件有限公司,Z150012 铝塑板
扬州聚鼎涂装科技有限公司,扬州聚鼎涂装科技有限公司,Z210032 强冷室
按图供货物料，按合格供方清单执行,按图供货物料，按合格供方清单执行,多供应商物料
捷联车身工程有限公司,捷联车身工程有限公司,Z120064 三类底盘
擎先智能科技(上海）有限公司,擎先智能科技(上海）有限公司,Z140036 中控屏、DVR
新南风加热制冷（沧州）有限公司,新南风加热制冷（沧州）有限公司,Z130018 除霜器
方盛车桥(柳州)有限公司,方盛车桥(柳州)有限公司,Z120006 桥总成
无锡八一塑料有限公司,无锡八一塑料有限公司,Z130007 地板革
